continent,2023_population
Asia,1428627663
Asia,1425671352
North America,339996563
Asia,277534122
Asia,240485658
Africa,223804632
South America,216422446
Asia,172954319
Europe,144444359
North America,128455567
Africa,126527060
Asia,123294513
Asia,117337368
Africa,112716598
Africa,102262808
Asia,98858950
Asia,89172767
Asia,85816199
Europe,83294633
Asia,71801279
Europe,67736802
Africa,67438106
Europe,64756584
Africa,60414495
Europe,58870762
Africa,55100586
Asia,54577997
South America,52085168
Asia,51784059
Africa,48582334
Africa,48109006
Europe,47519628
South America,45773884
Africa,45606480
Asia,45504560
Asia,42239854
Europe,41026067
North America,38781291
Africa,37840044
Asia,36947025
Europe,36744634
Africa,36684202
Asia,35163944
Asia,34449825
South America,34352719
Asia,34308525
Africa,34121985
Africa,33897354
Asia,30896590
Africa,30325732
Africa,28873034
South America,28838499
Africa,28647293
Africa,27202843
Oceania,26439111
Asia,26160821
Asia,23923276
Africa,23293698
Africa,23251485
Asia,23227014
Asia,21893579
Africa,20931751
Africa,20569737
Europe,19892812
South America,19629590
Asia,19606633
Africa,18278568
South America,18190484
Africa,18143378
North America,18092026
Africa,17763163
Europe,17618299
Asia,16944826
Africa,16665409
Africa,14190612
Africa,14094683
Africa,13712828
Africa,13238559
Africa,12458223
South America,12388571
North America,11724763
Europe,11686140
Asia,11337052
North America,11332972
North America,11194449
Africa,11088796
Europe,10612086
North America,10593798
Europe,10495295
Asia,10412651
Europe,10341277
Oceania,10329931
Europe,10247605
Europe,10156239
Asia,10143543
Asia,9516871
Europe,9498238
Asia,9174520
Africa,9053799
Europe,8958960
Europe,8796669
Africa,8791092
Asia,7633779
Asia,7491609
Europe,7149077
North America,7046310
Africa,6888388
South America,6861524
Asia,6735347
Europe,6687717
Asia,6516100
North America,6364943
Africa,6106869
Asia,6014723
Europe,5910913
Europe,5795199
Africa,5742315
Europe,5545475
Europe,5474360
Africa,5418377
Asia,5371230
Asia,5353930
Oceania,5228100
North America,5212173
Europe,5056935
Africa,4862989
Asia,4644384
North America,4468087
Asia,4310108
Europe,4008617
Africa,3748901
Asia,3728282
Asia,3447157
Europe,3435931
South America,3423108
North America,3260314
Europe,3210847
Europe,2832439
North America,2825544
Asia,2777970
Africa,2773168
Europe,2718352
Asia,2716391
Africa,2675352
Africa,2604172
Africa,2436566
Africa,2330318
Africa,2150842
Europe,2119675
Europe,2085679
Europe,1830211
Africa,1714671
North America,1534937
Asia,1485509
Asia,1360596
Europe,1322765
Africa,1300557
Europe,1260138
Africa,1210822
Africa,1136455
Africa,981796
Oceania,936375
Africa,852075
South America,813834
Asia,787424
Oceania,740424
Asia,704149
Europe,654768
Europe,626485
South America,623236
Africa,598682
Africa,587259
Europe,535064
Asia,521021
Asia,452524
North America,412623
North America,410825
North America,395839
Europe,375318
North America,366981
Africa,335995
Oceania,334506
South America,312155
Oceania,308872
Oceania,292991
North America,281995
Africa,231856
Oceania,225681
North America,192077
North America,180251
Oceania,172952
Oceania,133515
North America,126183
Oceania,115224
Europe,111802
Oceania,107773
Africa,107660
North America,106277
North America,103698
North America,98750
North America,94298
Europe,84710
Europe,80088
North America,73040
North America,69310
North America,64069
Europe,63544
North America,56643
Europe,53270
Oceania,49796
North America,47755
North America,46062
North America,44222
Oceania,43914
Oceania,41996
Europe,39584
Europe,36297
Europe,33642
Europe,32688
North America,32077
North America,31538
Oceania,18058
Oceania,17044
North America,15899
Oceania,12780
Oceania,11502
Oceania,11396
North America,10994
North America,5840
North America,4386
South America,3791
Oceania,1935
Oceania,1893
Europe,518
