Rank,CCA3,Country,Continent,Growth_Rate,World_Percentage
6,Negros,Nigeria,Africa,2.41%,2.80%
11,ETH,Ethiopia,Africa,2.55%,1.58%
14,EGY,Egypt,Africa,1.56%,1.41%
15,COD,DR Congo,Africa,3.29%,1.28%
22,TZA,Tanzania,Africa,2.96%,0.84%
24,ZAF,South Africa,Africa,0.87%,0.75%
26,KEN,Kenya,Africa,1.99%,0.69%
30,UGA,Uganda,Africa,2.82%,0.61%
31,SDN,Sudan,Africa,2.63%,0.60%
34,DZA,Algeria,Africa,1.57%,0.57%
39,MAR,Morocco,Africa,1.02%,0.47%
42,AGO,Angola,Africa,3.08%,0.46%
47,GHA,Ghana,Africa,1.93%,0.43%
48,MOZ,Mozambique,Africa,2.81%,0.42%
50,MDG,Madagascar,Africa,2.41%,0.38%
51,CIV,Ivory Coast,Africa,2.53%,0.36%
53,CMR,Cameroon,Africa,2.63%,0.36%
54,NER,Niger,Africa,3.80%,0.34%
58,MLI,Mali,Africa,3.10%,0.29%
59,BFA,Burkina Faso,Africa,2.55%,0.29%
62,MWI,Malawi,Africa,2.58%,0.26%
63,ZMB,Zambia,Africa,2.76%,0.26%
67,TCD,Chad,Africa,3.13%,0.23%
69,SOM,Somalia,Africa,3.10%,0.23%
71,SEN,Senegal,Africa,2.58%,0.22%
74,ZWE,Zimbabwe,Africa,2.11%,0.21%
75,GIN,Guinea,Africa,2.39%,0.18%
76,RWA,Rwanda,Africa,2.31%,0.18%
77,BEN,Benin,Africa,2.70%,0.17%
78,BDI,Burundi,Africa,2.71%,0.17%
79,TUN,Tunisia,Africa,0.83%,0.16%
86,SSD,South Sudan,Africa,1.61%,0.14%
99,TGO,Togo,Africa,2.32%,0.11%
102,SLE,Sierra Leone,Africa,2.15%,0.11%
107,LBY,Libya,Africa,1.12%,0.09%
113,COG,Republic of the Congo,Africa,2.29%,0.08%
117,CAF,Central African Republic,Africa,2.92%,0.07%
120,LBR,Liberia,Africa,2.18%,0.07%
126,MRT,Mauritania,Africa,2.68%,0.06%
131,ERI,Eritrea,Africa,1.76%,0.05%
141,GMB,Gambia,Africa,2.48%,0.03%
144,BWA,Botswana,Africa,1.71%,0.03%
145,NAM,Namibia,Africa,1.45%,0.03%
146,GAB,Gabon,Africa,1.99%,0.03%
147,LSO,Lesotho,Africa,1.06%,0.03%
148,GNB,Guinea-Bissau,Africa,2.15%,0.03%
152,GNQ,Equatorial Guinea,Africa,2.37%,0.02%
157,MUS,Mauritius,Africa,0.08%,0.02%
159,SWZ,Eswatini,Africa,0.76%,0.02%
160,DJI,Djibouti,Africa,1.39%,0.01%
161,REU,Reunion,Africa,0.80%,0.01%
163,COM,Comoros,Africa,1.83%,0.01%
171,CPV,Cape Verde,Africa,0.93%,0.01%
172,ESH,Western Sahara,Africa,1.96%,0.01%
181,MYT,Mayotte,Africa,3.03%,0.00%
187,STP,Sao Tome and Principe,Africa,1.97%,0.00%
197,SYC,Seychelles,Africa,0.51%,0.00%
